,accuser_username,subtweet_evidence,subtweet_evidence_id,subtweeter_username,alleged_subtweet,alleged_subtweet_id
892,DaxterSpeed,@Kovanel Also don't subtweet,943378882194964481,Kovanel,Never thought I'd see William Shatner defending Umi from Makifags,943375288108322816
893,jmtwxoxo,@kajuana_marie @RobertG9123 is this a subtweet about you 🤔,943370185653731328,kajuana_marie,men will literally nut 45 seconds into sex and have the audacity to ask if you came. yeah i came to the wrong house,943021390835302401
894,brielisttags,@BellaMoonP Wait. Was this a subtweet? https://t.co/VVIChWKHx7,943370151478603777,BellaMoonP,Subtweets..... it works!  #ExtremeHolidayStressBusters,943369362689241088
895,bIacklions,@YOUDlAS dont subtweet me,943366366572302336,YOUDlAS,i like witnessing the exact moment someone deletes their tweets,943363947641663496
896,TastelessOne,"@0Teridax @BlacktusJack I am. As I said, I didn't even see Blacktus's tweet. I wouldn't subtweet him even if I did.",943365336354697216,0Teridax,how can anyone hate the room,943363779689107456
897,ivalician_mage,@the1janitor Just because you have an opinion does not mean you need to subtweet it. 😒,943362446605148160,the1janitor,just because you have an opinion does not mean you have to share it,943356835935019008
898,yourboyocean,"@dirak_ yeah you are, sorry about the subtweet",943357687810666497,dirak_,am i allowed to say im reading horimiya,943357611054895104
899,KevGoshdarn,@JoshuaConkel love a good prince of broadway subtweet,943357193885274112,JoshuaConkel,"I hate any commercial that is just a supercut of ""regular"" people singing into the camera.",943355503723327489
900,JasonCheathawks,@cmikesspinmove dont subtweet me,943352570109669376,cmikesspinmove,"Tom Cable may not be responsible for everything, and a lot of his hate is prolly lazy, but make no mistake, fire cable.",943351445562195968
901,boolinjesus,@SweatyAnimeMom *mandatory drybones subtweet*,943351788329226241,SweatyAnimeMom,time to continue watching boss baby,943348682942009344
902,jeremiah_fitz,@samrherrmann Wow did you just subtweet me? I'm honored.,943350195659722752,samrherrmann,"hey, guys. the original star wars films were imperfect too. you just didn't realize it because you were 6. it's about the magic.",943339210915893257
903,haannahhhhhhh,@Sarahstaplesss you don’t have to subtweet me like that ... just take it off social media &amp; text me about it fr 💯,943348778530111488,Sarahstaplesss,😴 on me while i'm 🆙 gettin' 💪🏼,943348004613967873
904,DownYellowSpam,"@midlevelpeach So are you gonna ask me to help run this or just subtweet me the entire time

@RyobeatPeach 👀👀👀👀👀👀",943343835127611392,midlevelpeach,"*misses dash back after upthrow and gets ftilt on Fox* 

“Yeah I’m like the only Peach that does this idk why no one explores this option”",943324144933928960
905,RobBlount,@Brandon_Paul51 I feel like this was a subtweet... https://t.co/6dhKqLAj6v,943342702762119168,Brandon_Paul51,Doby pitches the shutout and the #NHLBruins take four points in two nights. No complaints here!,943316819603001345
906,Hegelbon,@AynRandy extreme subtweet,943338464975687680,AynRandy,LIFEHACK: you don't need to be shitting to sit on the toilet at work. they're not checking,943337813243723777
907,KeystoneTrad,@Trad_Post9002 vicious subtweet,943333496218685441,Trad_Post9002,"no offense but im not sure why i follow some of u lol... see one of your tweets &amp; just look at it like ""uh what... alright"" n keep scrollin",943326255147094016
908,TheMerchantRuss,"@GC_Positive please don't subtweet me like this, GC.",943331193684099072,GC_Positive,"Ye know, sliding into my DMs with a picture of your ass probably isn't the best ice breaker.",943331043419086852
909,YourManHydra,@Trad_Post9002 Why subtweet me https://t.co/yqCHJCVTMz,943329540704784384,Trad_Post9002,"no offense but im not sure why i follow some of u lol... see one of your tweets &amp; just look at it like ""uh what... alright"" n keep scrollin",943326255147094016
910,BenzoBoomin,@MUT_Lucas Good subtweet!,943328651625541632,MUT_Lucas,So why do people quote tweet when replying to someone? Do they think they’re about to get rekt and need backup from their followers? Lmfao,943328391306076161
911,uncIick,@LastLazor im just making them for my family not for me asshole thanks the subtweet,943328106542194688,LastLazor,A fat person making Christmas cookies is like an old person digging a grave,943325725100204033
