,Feature (Non-subtweet),Log Probability (Non-subtweet),Feature (Subtweet),Log Probability (Subtweet)
4369,% $ 10.73,-12.969525092978847,reporting,-12.375836100049387
4370,% %,-12.969525092978847,""" friend """,-12.375837684876975
4371,% % ?,-12.969525092978847,incompetent,-12.376027233175135
4372,% &,-12.969525092978847,book ?,-12.376123498059368
4373,% & end,-12.969525092978847,", post",-12.376202127165376
4374,% (,-12.969525092978847,separate,-12.376361824294904
4375,% ( meaning,-12.969525092978847,forever .,-12.376595453331742
4376,% ),-12.969525092978847,smut,-12.376662481979352
4377,% ) clean,-12.969525092978847,don't expect,-12.376671069404352
4378,"% ,",-12.969525092978847,thursday,-12.377084659094846
4379,"% , eu",-12.969525092978847,". like ,",-12.37720558815187
4380,"% , they're",-12.969525092978847,"just say """,-12.37721154982753
4381,% -,-12.969525092978847,😷,-12.377247777555695
4382,% - 0.25,-12.969525092978847,feel ?,-12.377342875087118
4383,% - 60,-12.969525092978847,night mode,-12.377407917214445
4384,% . car,-12.969525092978847,look ass,-12.377483221976634
4385,% . coming,-12.969525092978847,goodness,-12.377579325849524
4386,% . decline,-12.969525092978847,", 2018",-12.37796169728772
4387,% . does,-12.969525092978847,follow 😂,-12.378110122306975
4388,% . global,-12.969525092978847,genre,-12.378138605559855
4389,% . isn't,-12.969525092978847,won't let,-12.37822793372543
4390,% . means,-12.969525092978847,stroke,-12.378313595995946
4391,% 1/2,-12.969525092978847,"shit """,-12.378419131638474
4392,% 1/2 store,-12.969525092978847,real !,-12.378457375807605
4393,% 100,-12.969525092978847,episodes,-12.378529238146854
4394,% 100 %,-12.969525092978847,60,-12.37855973914648
4395,% 41,-12.969525092978847,really .,-12.378844157707631
4396,% 41 %,-12.969525092978847,late night,-12.37889691357859
4397,% ?,-12.969525092978847,i'm nice,-12.37900478164472
4398,% actual,-12.969525092978847,... 🙄,-12.37911127304555
4399,"% actual ,",-12.969525092978847,doesn't matter,-12.37918713795828
4400,% africa,-12.969525092978847,actually want,-12.379223648984848
4401,% africa mere,-12.969525092978847,slander,-12.379263390889578
4402,% america's,-12.969525092978847,@me,-12.379290765691529
4403,% america's population,-12.969525092978847,💘,-12.379514217449643
4404,% americans,-12.969525092978847,snap stories,-12.379554730223091
4405,% americans think,-12.969525092978847,survive,-12.379729649359499
4406,% approve,-12.969525092978847,math,-12.37982344696975
4407,% approve president,-12.969525092978847,battle,-12.379913646389948
4408,% assist,-12.969525092978847,women .,-12.37996436450066
4409,% assist rate,-12.969525092978847,tell friends,-12.380026805869175
4410,% attention,-12.969525092978847,.. great,-12.380030100183058
4411,% attention dedicated,-12.969525092978847,biased,-12.380201995233207
4412,% bicycles,-12.969525092978847,""" "" ,",-12.380303285231681
4413,% bicycles dominant,-12.969525092978847,need place,-12.380383635531008
4414,% black,-12.969525092978847,audience,-12.380456361508136
4415,% black vote,-12.969525092978847,? y'all,-12.38046263585238
4416,% blacks,-12.969525092978847,", '",-12.380496588019447
4417,% blacks vote,-12.969525092978847,bi,-12.380525018917956
4418,% brackets,-12.969525092978847,apocalypse,-12.380526459111769
4419,% brackets .,-12.969525092978847,", what's",-12.38054227323913
4420,% bragged,-12.969525092978847,kidding,-12.380544681326244
4421,% bragged .,-12.969525092978847,buff,-12.380571436765363
4422,% brands,-12.969525092978847,", :",-12.380600040759353
4423,% brands offer,-12.969525092978847,you're cute,-12.3806816626898
4424,% can't,-12.969525092978847,cock,-12.380781303222124
4425,% can't detect,-12.969525092978847,disagreement,-12.380885745700457
4426,% can't run,-12.969525092978847,uhhh,-12.380955996396638
4427,% cancelling,-12.969525092978847,waffle,-12.380992104663168
4428,% cancelling dd,-12.969525092978847,think things,-12.38100070389459
4429,% confident,-12.969525092978847,"don't like ,",-12.381007748026104
4430,% correct,-12.969525092978847,said .,-12.381089020505204
4431,% country,-12.969525092978847,good idea,-12.381158016118384
4432,% country poverty,-12.969525092978847,fucking stupid,-12.381385839404768
4433,% crap,-12.969525092978847,sayin,-12.381467121357872
4434,% delaware,-12.969525092978847,& better,-12.381701924954623
4435,% delaware real,-12.969525092978847,material,-12.381709294160466
4436,% democrats,-12.969525092978847,rage,-12.38195109711751
4437,% democrats approve,-12.969525092978847,y'all wanna,-12.381954654372663
4438,% efforts,-12.969525092978847,absolute worst,-12.38203018570887
4439,% efforts save,-12.969525092978847,real .,-12.382098762058368
4440,% end,-12.969525092978847,you're right,-12.382187753838062
4441,% end period,-12.969525092978847,don't person,-12.382199805599404
4442,% fee,-12.969525092978847,brands,-12.382234701936008
4443,% fee come,-12.969525092978847,fancy,-12.382391514440013
4444,% funds,-12.969525092978847,cards,-12.38261713853731
4445,% funds portrait,-12.969525092978847,did lmao,-12.38263547749076
4446,% games,-12.969525092978847,"calling """,-12.382853313879224
4447,"% games ,",-12.969525092978847,funnier,-12.382943760019739
4448,% helps,-12.969525092978847,spare,-12.382961140667302
4449,% helps mentor,-12.969525092978847,enemies,-12.38297772786417
4450,% home,-12.969525092978847,british,-12.383055098164412
4451,% home teams,-12.969525092978847,i'm owned,-12.383077122198557
4452,% house,-12.969525092978847,special .,-12.38312288040578
4453,% house committee,-12.969525092978847,""" friends """,-12.383129504815143
4454,% humility,-12.969525092978847,"sleep ,",-12.383171713709798
4455,% humility 4,-12.969525092978847,. friends,-12.383192592427882
4456,% i'm,-12.969525092978847,", bitch",-12.383238178895912
4457,% i'm excited,-12.969525092978847,openly,-12.383240935102648
4458,% indisputable,-12.969525092978847,livejournal,-12.383255461595102
4459,% indisputable proof,-12.969525092978847,good feeling,-12.383279145911786
4460,% introvert,-12.969525092978847,like new,-12.383408890431285
4461,% introvert protected,-12.969525092978847,illness,-12.383437658676705
4462,% laken,-12.969525092978847,bold,-12.383663290577395
4463,% laken needs,-12.969525092978847,diet,-12.383669572279862
4464,% layout,-12.969525092978847,don't act like,-12.383686392478005
4465,% layout getting,-12.969525092978847,people live,-12.383686587225085
4466,% male,-12.969525092978847,i'm starting,-12.383745613457345
4467,% male turnout,-12.969525092978847,matters,-12.383771762900658
4468,% men,-12.969525092978847,", try",-12.3838093335813
