,accuser_username,subtweet_evidence,subtweet_evidence_id,subtweeter_username,alleged_subtweet,alleged_subtweet_id
2939,GunPlaySmurff,@Foreverloddy Don’t subtweet me babyy,952620227954663424,Foreverloddy,first all these bitches wan turn fake bougie now they tryin be street too ... smh this ain’t a movie baby,952619896172613633
2940,arod9916,@savvysavageee @roxanne_marie1 catch my subtweet??? 😂,952619368571195392,savvysavageee,"The ""y"" in your boyfriend is silent 
🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃",819298390605447168
2941,Sxptic_Marzi,"@Abbygail41901 @notreallykenzie Then don't subtweet about us either,don't make accounts to 'spy' on us and don't bloody start a thread war.",952617535819612160,Sxptic_Ari,"Live with the consequences of your actions sweetie, you fucked up, not us",952287956382994432
2942,QSwearyLXI,@refeathered He is absolutely crazy. I post one subtweet &amp; he has a full blown meltdown that lasts for days. lolzies.,952615866063081472,refeathered,Twenty tweets without reply to tell me I've been triggered.,952598375278546950
2943,KyleStreller,@morninggloria Nice @chrislhayes subtweet.,952615387501232128,morninggloria,My reaction to the Aziz Ansari story: most millennial men don’t realize how bad they are at sex,952593596460486657
2944,BucciSweatpants,@oncefighters @autisticbimbo nah this is far too broad a statement to be a subtweet,952615368438280192,autisticbimbo,"Look: i invented the alt right

i'm sorry ok",952489229715558401
2945,jessissmol,@Iian_F you mentioned names so its not a subtweet nice try,952614478549569536,Iian_F,Tj bully's me cause jessica forces him to (SUBTWEET),952614356470157312
2946,Ihatedogs911,@JessTheGemini Want to go later tonight? Or was this a subtweet to your mcm?,952613780436889600,JessTheGemini,I wanna go watch a movie,952613101504835584
2947,McBeth88,@Sullivancouver Todd Haley subtweet. #JAXvsPIT,952612713397600256,Sullivancouver,4th and 1. Toss it back five yards!! #JAXvsPIT,952612067009183744
2948,endmenow1,@Criptomanix3 War das subtweet 😡♿,952608953741070336,Criptomanix3,ich finds komisch wenn user keinen richtigen grind haben sondern nur irgendwelche memes retweeten,952608330677129217
2949,Otakundead,@chadxenu Why subtweet them?,952604341348765701,chadxenu,Uh oh somebody is creeping on kids in this twitter circle again,952603206697316352
2950,b_ballboy69,@MarkasSolomon Hey don’t subtweet me,952602227067228160,MarkasSolomon,Regardless of your dietary choices you are probably bad not only for the environment but also your locally government,952602092195270656
2951,emilykeba,@lizannmm this subtweet,952600678593191938,lizannmm,some people are just so clueless (and clueless is such a perfect descriptor),952582605530116096
2952,dhall97326,@alexamariejones Don't subtweet me like that,952599287262777347,alexamariejones,The thots of moundsville are out tonight lemme tell ya,952430139916288001
2953,DBekel,@chelsea5138 @nik_cisneros @Kassie324 Nice subtweet,952594872460079104,chelsea5138,Next time you ask me to go somewhere I’m not going.,952559939888861184
2954,reesec23,@taniyahjanay Don't subtweet me,952592154915942401,taniyahjanay,Y’all act like a gun is being held to yalls head to answer these curious cat questions 💀💀,952586921976455168
2955,Prinncessss_,"@allanteamour_ Don’t subtweet me, @ me 🙄 and damn right",952580779737001984,allanteamour_,Tekima is salty y’all 🙄,952576233824538625
2956,MissMovies,@FrankieJ29 I appreciate your use of subtweet.,952576924907290624,FrankieJ29,The headache wasn't worth it.,952450837820985344
2957,awkwordy,@iateoklahoma Is this a subtweet,952561397543653376,iateoklahoma,"Yes, I'll be your friend on Fitbit as long as you don't expect me to be fit.",952560236321177601
2958,CastAwayRain,@cidedorf is this a subtweet @ me 👀,952560995414761473,cidedorf,one thing that makes me sad is that i'll never have the same musical taste as my friends :(,952560455863623680
2959,OfficialKingKip,@duduuugs dont subtweet me,952547162184962048,duduuugs,"shacking my head at the fools who acuse me of ever being such a thing as ""Horny "" or ""lewd""""",952547057717432320
2960,hoshiifinder,"@pikaduken Apparently you saw me yesterday, next time if you got something to say say it then, don't subtweet me",952535183265234944,pikaduken,True fear is watching someone walk around in 50 degree weather with shorts and flip flops,952224126126690310
2961,HiraShakil,@kamranyz Hahaha. Oh. I thought usi pe subtweet kar rahay hain. 😂😂,952532558557990912,kamranyz,Ye mazay ki dishes walay tweet Wala zulm nai hona chahye 😀📢🍜🍛🍚🍝🍕,952530055141437441
2962,Starboyydolans,@BACKDOLAN is this a subtweet about me?,952515125055025153,BACKDOLAN,first of all i’m not the dumbest in 3hkh ok shut up,952281875644600320
2963,RHAPfan21,@Scott_R_JC Oh wow I nearly missed this subtweet. Bitch,952512252044656641,Scott_R_JC,It's weird tweeting from Asia because you're all asleep most of the time,952495764747337729
2964,daniyalahmed24,"@MaiJunaid On on, subtweet",952509685617299456,MaiJunaid,Anum ne Notifications ko abad krdia. ⚘,952305705159155718
2965,SanvyVGC,@WolfeyGlick thanks for the subtweet,952505682313478144,WolfeyGlick,Low key it's baffling to me that so many people don't build their own teams like zam b do you realize you're only playing half the game?,952390650602885121
2966,dolancarpenter,@sebtsb who’s the subtweet to,952498431263674368,sebtsb,u may not know it but u’re seriously my favourite,952365304444866560
